"sitename","affiliation","postcode"
"Goods Corner","Prestige Student Living","EH16 6FU"
"Portsburgh Court, Edinburgh","Student Roost","EH3 9DH"
"New Park","Downing Students","EH7 5PR"
"Panmure Court, Edinburgh","Student Roost","EH8 8DP"
"Darroch Court","University of Edinburgh","EH8 9TS"
"Vita Student Edinburgh - Fountainbridge","Vita Student","EH3 9QG"
"Meadow Court","Prime Student Living","EH9 1NH"
"Kincaid's Court","University of Edinburgh","EH1 1JT"
"Riego Street","University of Edinburgh","EH3 9BL"
"Deaconess","University of Edinburgh","EH8 9RR"
"Beaverbank Place","Homes for Students","EH7 4FB"
"iQ Fountainbridge","iQ","EH11 1AB"
"O'Shea North","University of Edinburgh","EH8 8AE"
"Morgan Court","University of Edinburgh","EH8 9TS"
"Bainfield","Edinburgh Napier University","EH11 1AR"
"Arran House","GSA","EH11 1FA"
"27 King's Stables Road","Hello Student","EH1 2JY"
"Turner House","University of Edinburgh","EH16 5AY"
"Kitchener House","University of Edinburgh","EH16 5QH"
"Lord Home Hall","Heriot-Watt University","EH14 4AS"
"The Mill House","Homes for Students","EH11 2BF"
"Hunter Hall","Scotland's Rural College","AB21 9YA"
"Mary Fergusson","Heriot-Watt University","EH14 4AS"
"Holland Annexe","University of Edinburgh","EH16 5AY"
"Ewing House","University of Edinburgh","EH16 5AY"
"Chancellors Court","University of Edinburgh","EH16 5AY"
"Roxburgh Place","University of Edinburgh","EH8 9ST"
"Ratcliffe Terrace","University of Edinburgh","EH8 9QP"
"Lee House","University of Edinburgh","EH16 5AY"
"Baird House","University of Edinburgh","EH16 5AY"
"Grant House","University of Edinburgh","EH16 5AY"
"Robin Smith Hall","Heriot-Watt University","EH14 4AS"
"Muriel Spark","Heriot-Watt University","EH14 4AS"
"Canal Point","GSA","EH3 9QW"
"Hermit's Croft","University of Edinburgh","EH9 1QP"
"East Newington Place","University of Edinburgh","EH9 1QP"
"Holland House","University of Edinburgh","EH16 5AY"
"Blackfriars Street","University of Edinburgh","EH1 1NE"
"Orwell Terrace","Edinburgh Napier University","EH11 2DT"
"iQ Grove","iQ","EH3 8FD"
"Sutton Hall","Scotland's Rural College","AB21 9YA"
"Christina Miller Hall","Heriot-Watt University","EH14 4AS"
"200 Cowgate","Universal Student Living","EH1 1NQ"
"South Clerk Street","University of Edinburgh","EH9 1QP"
"Fraser Court","University of Edinburgh","EH16 5AU"
"Mylnes Court","University of Edinburgh","EH1 2PF"
"John Burnett House","University of Edinburgh","EH16 5AY"
"Robert Bryson Hall","Heriot-Watt University","EH14 4AS"
"College Wynd","University of Edinburgh","EH1 1JT"
"Blackwood Crescent/Causewayside","University of Edinburgh","EH9 1QP"
"Oatridge","Scotland's Rural College","EH52 6NH"
"Robertson's Close","University of Edinburgh","EH1 1LY"
"Sciennes","University of Edinburgh","EH9 1NJ"
"Anna Macleod","Heriot-Watt University","EH14 4AS"
"Salisbury Court","Unite","EH8 9RD"
"Warrender Park Road","University of Edinburgh","EH9 1DY"
"Slateford Road","Edinburgh Napier University","EH11 1FE"
"Lord Thomson Hall","Heriot-Watt University","EH14 4AS"
"New Arthur Place","University of Edinburgh","EH8 9RR"
"Elmwood Campus","Scotland's Rural College","KY15 4JB"
"Student Castle Edinburgh","Student Castle","EH9 1PH"
"Gateway Apartments","Collegiate","EH7 5BH"
"Nido Haymarket","Nido","EH11 2EE"
"Sugarhouse Close","Unite","EH8 8FF"
"Contemporary Studios - Postgraduate","Heriot-Watt University","EH14 4AS"
"The Bridge House","Unite","EH3 9QG"
"Brae House","GSA","EH8 8EH"
"Shrubhill House","Unite","EH7 4QW"
"Mackie Hall","Scotland's Rural College","AB21 9YA"
"Ascham Court (Archers Hall)","University of Edinburgh","EH8 9LR"
"Murano","Unite","EH7 5FL"
"ELS House","Edinburgh Letting Solutions","EH11 3LE"
"iQ Elliott House","iQ","EH7 5EA"
"Edinburgh College Residences","CRM","EH5 1QE"
"West Mains Road","University of Edinburgh","EH9 3JE"
"The Old Printworks","Unite","EH8 9NX"
"Buccleuch Street","Hello Student","EH8 9NS"
"Chalmers Street","Unite","EH3 9FE"
"O'Shea South","University of Edinburgh","EH8 8AJ"
"Morrison Circus","Student Cribs","EH3 8DX"
"28 & 34 Wrights Houses","University of Edinburgh","EH10 4HR"
